iter	Passed	Remaining
774	5173	8177
775	5180	8170
776	5185	8161
777	5192	8156
778	5200	8150
779	5206	8144
780	5215	8140
781	5221	8133
782	5225	8121
783	5232	8115
784	5243	8115
785	5247	8104
786	5252	8096
787	5260	8090
788	5266	8082
789	5272	8075
790	5280	8070
791	5287	8065
792	5294	8058
793	5300	8050
794	5306	8043
795	5310	8033
796	5314	8021
797	5320	8014
798	5327	8008
799	5332	7998
800	5340	7993
801	5345	7985
802	5353	7980
803	5358	7971
804	5364	7964
805	5370	7956
806	5378	7951
807	5384	7943
808	5392	7939
809	5398	7931
810	5404	7923
811	5413	7920
812	5422	7917
813	5428	7909
814	5435	7902
815	5444	7899
816	5448	7889
817	5452	7878
818	5458	7871
819	5464	7863
820	5470	7855
821	5475	7847
822	5481	7839
823	5485	7828
824	5492	7822
825	5497	7813
826	5505	7809
827	5512	7803
828	5518	7795
829	5522	7784
830	5531	7781
831	5538	7774
832	5543	7766
833	5551	7760
834	5557	7753
835	5560	7742
836	5566	7734
837	5572	7727
838	5577	7718
839	5581	7708
840	5585	7697
841	5593	7692
842	5598	7683
843	5605	7677
844	5610	7669
845	5620	7666
846	5625	7658
847	5633	7652
848	5638	7643
849	5643	7635
850	5648	7626
851	5656	7621
852	5661	7612
853	5667	7605
854	5674	7599
855	5681	7593
856	5686	7584
857	5695	7580
858	5703	7575
859	5707	7565
860	5712	7556
861	5716	7546
862	5723	7540
863	5727	7530
864	5737	7527
865	5742	7519
866	5750	7515
867	5756	7506
868	5760	7497
869	5765	7489
870	5772	7482
871	5780	7476
872	5786	7470
873	5795	7466
874	5802	7460
875	5810	7454
876	5817	7448
877	5821	7439
878	5825	7429
879	5832	7422
880	5837	7414
881	5842	7405
882	5851	7402
883	5858	7396
884	5861	7384
885	5868	7379
886	5875	7372
887	5878	7361
888	5884	7354
889	5889	7345
890	5896	7338
891	5903	7333
892	5910	7326
893	5914	7317
894	5919	7308
895	5928	7304
896	5936	7300
897	5945	7295
898	5952	7290
899	5962	7286
900	5970	7282
901	5977	7276
902	5983	7268
903	5987	7258
904	5992	7250
905	5998	7243
906	6004	7235
907	6011	7229
908	6018	7223
909	6023	7215
910	6030	7208
911	6034	7199
912	6041	7192
913	6051	7189
914	6058	7183
915	6061	7172
916	6065	7163
917	6071	7156
918	6078	7149
919	6086	7144
920	6092	7137
921	6097	7128
922	6104	7122
923	6110	7115
924	6115	7107
925	6121	7100
926	6129	7095
927	6135	7087
928	6140	7079
929	6147	7073
930	6155	7067
931	6162	7062
932	6169	7055
933	6177	7050
934	6182	7042
935	6186	7032
936	6191	7023
937	6200	7019
938	6205	7011
939	6209	7002
940	6215	6994
941	6223	6989
942	6230	6984
943	6238	6979
944	6244	6971
945	6250	6963
946	6254	6955
947	6258	6945
948	6262	6936
949	6267	6927
950	6272	6919
951	6279	6913
952	6284	6904
953	6293	6899
954	6298	6892
955	6307	6887
956	6317	6885
957	6322	6877
958	6328	6869
959	6333	6861
960	6339	6853
961	6345	6847
962	6352	6840
963	6357	6832
